,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
975,Ryan Janes,,250,1,0,0,1.0,1,1,8,3,0.37,0,10,16,0,1,0,35,190.5,Orthodox,193.04,185,0,0
976,Germaine de Randamie,,-130,3,1,0,0.0,1,0,150,80,0.53,0,144,223,0,0,0,32,175.26,Orthodox,180.34,135,2,0
977,Derek Brunson,8.0,-120,7,2,0,0.2,10,2,101,54,0.53,0,118,184,0,0,0,33,185.42,Southpaw,195.58,185,4,1
978,Tim Boetsch,13.0,450,11,9,0,0.0,0,0,10,6,0.6,0,8,12,0,0,0,36,182.88,Orthodox,187.96,185,6,0
979,Jared Cannonier,15.0,190,2,1,0,0.0,0,0,46,21,0.45,0,40,66,0,0,0,32,180.34,Switch,195.58,185,1,0
980,Jim Miller,,360,17,8,0,0.16,6,1,135,71,0.52,0,83,150,3,1,0,33,172.72,Southpaw,180.34,155,3,6
981,Belal Muhammad,,115,1,2,0,0.4,5,2,152,71,0.46,0,135,236,0,2,0,28,180.34,Orthodox,182.88,170,1,0
982,Islam Makhachev,,-330,2,1,0,1.0,5,5,58,43,0.74,0,98,127,0,12,0,25,177.8,Orthodox,177.8,155,0,1
983,Phillipe Nover,,155,1,5,0,0.0,2,0,102,50,0.49,0,108,165,0,0,0,33,175.26,Orthodox,182.88,145,0,0
984,Roan Carneiro,,250,4,4,0,0.0,4,0,50,19,0.38,0,25,56,0,2,0,38,180.34,Orthodox,187.96,170,1,1
985,Julianna Pena,2.0,160,4,0,0,0.2,5,1,35,27,0.77,0,78,99,0,0,0,27,167.64,Orthodox,175.26,135,2,0
986,Jorge Masvidal,12.0,155,8,4,0,0.0,0,0,102,58,0.56,2,58,102,0,0,0,32,180.34,Orthodox,187.96,170,2,1
987,Francis Ngannou,10.0,-420,4,0,0,0.0,0,0,13,8,0.61,1,8,14,0,0,0,30,193.04,Orthodox,210.82,250,2,1
988,Jason Knight,,-135,2,1,0,0.5,4,2,95,31,0.32,0,46,112,4,2,0,24,177.8,Orthodox,180.34,145,0,0
989,Sam Alvey,,-140,6,3,0,0.0,1,0,84,36,0.42,0,45,95,0,0,0,30,187.96,Southpaw,190.5,205,4,1
990,Aljamain Sterling,7.0,125,4,1,0,0.0,3,0,172,52,0.3,0,52,172,0,0,0,27,170.18,Orthodox,180.34,135,1,2
991,Jordan Johnson,,-190,0,0,0,0.8,5,4,67,39,0.58,0,106,162,2,5,0,28,187.96,Orthodox,200.66,205,0,0
992,Alessio Di Chirico,,-110,1,1,0,0.0,0,0,2,1,0.5,0,1,2,0,0,0,27,182.88,Orthodox,187.96,185,0,0
993,Jeremy Kimball,,110,0,0,0,0.0,0,0,17,5,0.29,0,5,17,0,0,0,26,182.88,Switch,182.88,205,0,0
994,Eric Shelton,,-120,0,0,0,0.33,12,4,93,32,0.34,0,44,107,0,0,0,25,167.64,Orthodox,172.72,125,0,0
995,JC Cottrell,,-125,0,1,0,1.0,1,1,6,1,0.16,0,8,15,0,3,0,27,175.26,Orthodox,180.34,155,0,0
996,BJ Penn,,290,12,11,0,0.0,0,0,22,4,0.18,0,7,27,0,0,0,38,175.26,Orthodox,177.8,155,6,4
997,Marcin Held,,120,0,1,0,1.0,5,5,78,23,0.29,0,32,90,0,4,0,24,175.26,Orthodox,180.34,155,0,0
998,Ben Saunders,,115,7,4,0,0.0,0,0,139,49,0.35,0,67,165,0,0,0,33,187.96,Orthodox,195.58,170,2,3
999,Sergio Pettis,15.0,-160,5,2,0,1.0,2,2,159,48,0.3,0,50,161,0,0,0,23,167.64,Orthodox,175.26,135,0,0
1000,Drakkar Klose,,-320,0,0,0,1.0,2,2,110,68,0.61,0,114,163,0,0,0,28,175.26,Orthodox,177.8,155,0,0
1001,Augusto Mendes,,140,0,1,0,0.44,9,4,109,42,0.38,0,74,142,0,1,0,33,167.64,Orthodox,165.1,135,0,0
