,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
96,Kevin Aguilar,,-115,2,1,0,0.0,0,0,28,9,0.32,0,9,28,0,0,0,31,170.18,Orthodox,185.42,145,0,0
97,Jake Matthews,,-200,8,4,0,0.57,7,4,73,33,0.45,1,71,112,0,3,0,25,180.34,Orthodox,185.42,170,1,4
98,Loma Lookboonmee,,155,1,0,0,1.0,1,1,130,53,0.4,0,68,156,0,0,0,24,154.94,Orthodox,154.94,115,0,0
99,Priscila Cachoeira,,180,0,3,0,0.0,0,0,18,8,0.44,1,8,18,0,0,0,31,170.18,Orthodox,165.1,125,0,0
100,Francis Ngannou,2.0,-220,8,2,0,0.0,0,0,19,9,0.47,1,9,19,0,0,0,32,193.04,Orthodox,210.82,250,7,1
101,Jussier Formiga,1.0,105,9,4,0,0.33,3,1,48,15,0.31,0,15,48,0,1,0,34,165.1,Orthodox,170.18,125,0,3
102,Roosevelt Roberts,,-245,2,0,0,0.66,3,2,87,31,0.35,0,34,90,0,2,0,25,187.96,Orthodox,185.42,155,0,1
103,Drew Dober,,-430,7,5,0,0.0,0,0,27,16,0.59,1,17,29,0,0,0,30,172.72,Southpaw,177.8,155,3,1
104,Alonzo Menifield,,-350,1,0,0,0.0,0,0,22,8,0.36,0,8,23,0,0,0,31,182.88,Orthodox,193.04,205,1,0
105,Ricardo Ramos,,-380,3,1,0,1.0,3,3,120,40,0.33,0,48,129,0,3,0,23,175.26,Orthodox,182.88,135,1,0
106,Eryk Anders,,-300,3,4,0,0.0,0,0,15,11,0.73,1,13,17,0,0,0,32,185.42,Southpaw,190.5,205,2,0
107,Jared Gordon,,-350,2,2,0,0.33,6,2,79,48,0.6,0,171,218,0,5,2,30,175.26,Orthodox,172.72,155,1,0
108,Dalcha Lungiambula,,-420,0,0,0,0.66,6,4,43,32,0.74,1,64,80,0,4,0,31,172.72,Orthodox,193.04,205,0,0
109,Emily Whitmire,,-175,2,1,0,0.0,0,0,25,7,0.28,0,18,37,0,0,1,28,165.1,Orthodox,160.02,115,0,1
110,Maurice Greene,,-125,2,0,0,0.0,0,0,83,37,0.44,2,39,85,0,2,0,32,200.66,Orthodox,203.2,258,0,1
111,Renato Moicano,5.0,-220,5,2,0,0.0,0,0,3,0,0.0,0,0,3,0,0,0,30,180.34,Orthodox,182.88,145,0,2
112,Bryan Barberena,,-235,5,4,0,0.0,0,0,101,47,0.46,0,122,178,0,1,0,30,182.88,Southpaw,182.88,170,3,1
113,Andre Ewell,,-140,1,1,0,0.0,0,0,173,73,0.42,0,74,174,0,0,0,31,172.72,Southpaw,190.5,135,0,0
114,Andrea Lee,10.0,-185,2,0,0,0.33,3,1,126,73,0.57,0,82,135,0,2,0,30,167.64,Orthodox,175.26,125,0,0
115,Kevin Holland,,-230,2,1,0,0.0,3,0,117,58,0.49,0,192,253,0,0,0,26,190.5,Orthodox,205.74,185,0,1
116,Dan Ige,,120,3,1,0,0.25,4,1,125,71,0.56,1,92,146,0,3,0,27,170.18,Orthodox,180.34,145,1,1
117,Ashley Yoder,,-140,1,3,0,0.2,5,1,100,75,0.75,0,147,194,0,8,0,31,170.18,Southpaw,175.26,115,0,0
118,Matt Wiman,,315,10,5,0,0.33,3,1,42,24,0.57,0,28,46,0,0,0,35,177.8,Orthodox,172.72,155,2,3
